codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
S13-8FM,G - PINTURA E QUÍMICOS,TINTA,TINTA P/ PISO,(15 L),HIDRACOR,TINTA P/ PISO (15 L) HIDRACOR,TINTA,(15 L),P/ PISO,HIDRACOR,CINZA #G,TINTA (15 L) P/ PISO HIDRACOR CINZA #G
SQ9-R06,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,"(3,6 L)",HIPERCOR,"TINTA ACRÍLICA FOSCO (3,6 L) HIPERCOR",TINTA,"(3,6 L)",ACR. FOSCO ECON.,HIPERCOR,BRANCO NEVE,"TINTA (3,6 L) ACR. FOSCO ECON. HIPERCOR BRANCO NEVE"
TGJ-H9W,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,0L)",VERBRAS,"TINTA ESMALTE SINTÉTICO (3,0L) VERBRAS",TINTA,"(3,0L)",ESMALTE,VERBRAS,AZUL FRANÇA,"TINTA (3,0L) ESMALTE VERBRAS AZUL FRANÇA"
TYN-6BR,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,0L)",VERBRAS,"TINTA ESMALTE SINTÉTICO (3,0L) VERBRAS",TINTA,"(3,0L)",ESMALTE,VERBRAS,CINZA MEDIO,"TINTA (3,0L) ESMALTE VERBRAS CINZA MEDIO"
U56-2UW,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,6L)",HIPERCOR,"TINTA ESMALTE SINTÉTICO (3,6L) HIPERCOR",TINTA,"(3,6L)",ESMALTE,HIPERCOR,AMARELO,"TINTA (3,6L) ESMALTE HIPERCOR AMARELO"
UV1-2H4,G - PINTURA E QUÍMICOS,TINTA,TINTA STANDARD,"(3,6 L)",VERBRAS,"TINTA STANDARD (3,6 L) VERBRAS",TINTA,"(3,6 L)",STANDARD POUPE+,VERBRAS,GEADA,"TINTA (3,6 L) STANDARD POUPE+ VERBRAS GEADA"
W04-HDZ,G - PINTURA E QUÍMICOS,TINTA,TINTA SEMI-BRILHO,"(3,6 L)",VERTEX,"TINTA SEMI-BRILHO (3,6 L) VERTEX",TINTA,"(3,6 L)",SEMI-BRILHO,VERTEX,LARANJA IMPERIAL,"TINTA (3,6 L) SEMI-BRILHO VERTEX LARANJA IMPERIAL"
W2V-WM4,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,(750 ML),VERBRAS,TINTA ESMALTE SINTÉTICO (750 ML) VERBRAS,TINTA,(750 ML),ESMALTE,VERBRAS,VERMELHO,TINTA (750 ML) ESMALTE VERBRAS VERMELHO
WWR-Q2J,G - PINTURA E QUÍMICOS,TINTA,TINTA ESMALTE SINTÉTICO,"(3,0L)",VERBRAS,"TINTA ESMALTE SINTÉTICO (3,0L) VERBRAS",TINTA,"(3,0L)",ESMALTE,VERBRAS,CREME,"TINTA (3,0L) ESMALTE VERBRAS CREME"
X6I-VV4,G - PINTURA E QUÍMICOS,TINTA,TINTA ACRÍLICA FOSCO,"(3,6 L)",POUPE+,"TINTA ACRÍLICA FOSCO (3,6 L) POUPE+",TINTA,"(3,6 L)",ACR. FOSCO ECON.,POUPE+,VIOLETA CLARO,"TINTA (3,6 L) ACR. FOSCO ECON. POUPE+ VIOLETA CLARO"
