codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
SH8-PWW,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,BIC MOV,COZ,TORNEIRA BIC MOV COZ,TORNEIRA,BIC MOV,COZ,IHP CROMADA DN15 I/4 VOLTA,,TORNEIRA BIC MOV COZ IHP CROMADA DN15 I/4 VOLTA
VQL-VI0,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,BIC MOV,COZ,TORNEIRA BIC MOV COZ,TORNEIRA,BIC MOV,COZ,IHP CROMADA DN15 I/4 VOLTA,1156MIHP,TORNEIRA BIC MOV COZ IHP CROMADA DN15 I/4 VOLTA 1156MIHP
4T1-52O,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PURIFICADOR,,,TORNEIRA PURIFICADOR,TORNEIRA (PURIFICADOR) ACQUA BELLA MESA,,,,,TORNEIRA (PURIFICADOR) ACQUA BELLA MESA
2AX-V8I,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PURIFICADOR,,,TORNEIRA PURIFICADOR,TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE,,,,,TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE
P2O-L4L,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PURIFICADOR,,,TORNEIRA PURIFICADOR,TORNEIRA (PURIFICADOR) ACQUA DUE MESA,,,,,TORNEIRA (PURIFICADOR) ACQUA DUE MESA
ZFG-Q25,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PURIFICADOR,,,TORNEIRA PURIFICADOR,TORNEIRA (PURIFICADOR) ACQUA DUE PAREDE,,,,,TORNEIRA (PURIFICADOR) ACQUA DUE PAREDE
P85-O76,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA MONOCOMANDO,,,TORNEIRA MONOCOMANDO,TORNEIRA 2877 C70 MONOCOMANDO WATERFALL,,,,,TORNEIRA 2877 C70 MONOCOMANDO WATERFALL
F8M-1O5,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA BIC MOV P/ PIA COZ PAREDE ABS DN15,,,,,TORNEIRA BIC MOV P/ PIA COZ PAREDE ABS DN15
0FQ-TGE,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15,,,,,TORNEIRA BIC MOV P/PIA COZ MESA ABS DN15
TG8-MQR,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOV P/ LAVAT MESA ABS TUBO CURVO DN15,,,,,TORNEIRA BICA MOV P/ LAVAT MESA ABS TUBO CURVO DN15
YPK-P2E,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15,,,,,TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15
LV0-IUR,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15,,,,,TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15
W4U-OGT,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOVEL DE MESA PIA/COZINHA J4 DN15,,,,,TORNEIRA BICA MOVEL DE MESA PIA/COZINHA J4 DN15
11D-153,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOVEL DE PAREDE  PIA/COZINHA J4 DN15,,,,,TORNEIRA BICA MOVEL DE PAREDE  PIA/COZINHA J4 DN15
SV7-Q22,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOVEL MESA 1156 SHK ABS,,,,,TORNEIRA BICA MOVEL MESA 1156 SHK ABS
DRS-M0Q,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOVEL MESA LAV 1195 SHK,,,,,TORNEIRA BICA MOVEL MESA LAV 1195 SHK
KG3-BSR,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15,,,,,TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15
0E4-4JI,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15,,,,,TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15
DSM-KP4,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15,,,,,TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15
VV9-MRR,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MÓVEL PAREDE SHB ABS 1/4 DE VOLTA DN15,,,,,TORNEIRA BICA MÓVEL PAREDE SHB ABS 1/4 DE VOLTA DN15
M0Y-YQZ,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA BICA MOVEL TIPO U IHP DN15,,,,,TORNEIRA BICA MOVEL TIPO U IHP DN15
JMH-O79,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA COZINHA,,,TORNEIRA COZINHA,TORNEIRA DE MESA PARA COZINHA CROMADA DN15,,,,,TORNEIRA DE MESA PARA COZINHA CROMADA DN15
5AE-0MX,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA BICA,,,TORNEIRA BICA,TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15,,,,,TORNEIRA DE MESA PARA LAVATORIO BICA MOVEL CROMADA DN15
WOD-507,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA COZINHA,,,TORNEIRA COZINHA,TORNEIRA DE PAREDE PARA COZINHA CROMADA DN15,,,,,TORNEIRA DE PAREDE PARA COZINHA CROMADA DN15
9ES-MWX,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15,,,,1178P61,TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15 › 1178P61
VQ4-F7P,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA ESF P/JARDIM MET 1/2,,,,,TORNEIRA ESF P/JARDIM MET 1/2
6TE-3PD,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA FILTRO BEBEDOURO,,,,,TORNEIRA FILTRO BEBEDOURO
82P-AN1,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA GR P/LAVATORIO PLAST BRANCA 1 DN15,,,,,TORNEIRA GR P/LAVATORIO PLAST BRANCA 1 DN15
4KW-7YB,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA JARDIM/PAREDE PRETO  1/2,,,,,TORNEIRA JARDIM/PAREDE PRETO  1/2
OWB-EI4,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA JARDIM/PAREDE PRETO  3/4,,,,,TORNEIRA JARDIM/PAREDE PRETO  3/4
3RK-NAI,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA MAQ/PAREDE CURTA 1/2,,,,,TORNEIRA MAQ/PAREDE CURTA 1/2
58R-TJ7,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15,,,,,TORNEIRA P/LAVATORIO MESA ABS 1/4 VOLTA DN15
95S-Y0H,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA P/LAVATORIO MESA ABS BRANCA SHB,,,,,TORNEIRA P/LAVATORIO MESA ABS BRANCA SHB
820-9W1,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA P/LAVATORIO MESA ACAB AQUILA COM AREJADOR ARTICULAD,,,,,TORNEIRA P/LAVATORIO MESA ACAB AQUILA COM AREJADOR ARTICULAD
2W2-8W1,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PLÁSTICA,,,TORNEIRA PLÁSTICA,TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15,,,,,TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15
71I-W47,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA PARA LAVATORIO J4 DN15,,,,,TORNEIRA PARA LAVATORIO J4 DN15
PXF-N4V,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15,,,,,TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15
OM3-A0I,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA COZINHA,,,TORNEIRA COZINHA,TORNEIRA PLASTICA COZINHA ALAVANCA 1/2,,,,,TORNEIRA PLASTICA COZINHA ALAVANCA 1/2
HVM-PV2,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PLÁSTICA,,,TORNEIRA PLÁSTICA,TORNEIRA PLASTICA P/LAVATÓRIO 1/2,,,,,TORNEIRA PLASTICA P/LAVATÓRIO 1/2
6MV-4A0,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PLÁSTICA,,,TORNEIRA PLÁSTICA,TORNEIRA PLASTICA PIA/LONGA COM CHUVEIRINHO 1/2,,,,,TORNEIRA PLASTICA PIA/LONGA COM CHUVEIRINHO 1/2
SVB-HW8,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PLÁSTICA,,,TORNEIRA PLÁSTICA,TORNEIRA PLASTICA TANQUE CURTA 10CM 1/2,,,,,TORNEIRA PLASTICA TANQUE CURTA 10CM 1/2
303-DVF,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA PLÁSTICA,,,TORNEIRA PLÁSTICA,TORNEIRA PLASTICA TANQUE CURTA COM CHUVEIRINHO 1/2,,,,,TORNEIRA PLASTICA TANQUE CURTA COM CHUVEIRINHO 1/2
U63-RGG,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA TANQUE/PAREDE 15CM 1/2 HERC,,,,,TORNEIRA TANQUE/PAREDE 15CM 1/2 HERC
NUP-7QS,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA TANQUE/PAREDE BRANCA  CROSS10 CM 1/2,,,,,TORNEIRA TANQUE/PAREDE BRANCA  CROSS10 CM 1/2
IMN-IN8,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA TANQUE/PAREDE BRANCA 15CM  1/2,,,,,TORNEIRA TANQUE/PAREDE BRANCA 15CM  1/2
BK6-DME,H - ACABAMENTOS PARA ÁREAS MOLHADAS,TORNEIRA,TORNEIRA,,,TORNEIRA,TORNEIRA TANQUE/PAREDE C/ALAVANCA 15 CM 1/2,,,,,TORNEIRA TANQUE/PAREDE C/ALAVANCA 15 CM 1/2
2P8-Y3W,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,P/ PIA AMERICANA,3.1/2',VÁLVULA P/ PIA AMERICANA 3.1/2',VALVULA,P/ PIA AMERICANA,3.1/2',TRAMONTINA,,VALVULA P/ PIA AMERICANA 3.1/2' TRAMONTINA
3H6-LQK,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,P/ TANQUE,,VÁLVULA P/ TANQUE,VALVULA,P/ TANQUE,,ASTRA,,VALVULA P/ TANQUE ASTRA
AZL-N9X,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,PRATIKA PARA CUBA - DN32 BRANCA,1.1/4,VÁLVULA PRATIKA PARA CUBA - DN32 BRANCA 1.1/4,VALVULA,PRATIKA PARA CUBA - DN32 BRANCA,1.1/4,JAPI,,VALVULA PRATIKA PARA CUBA - DN32 BRANCA 1.1/4 JAPI
ER3-LA5,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,PRATIKA PARA CUBA - DN32 CROMADA,1.1/4,VÁLVULA PRATIKA PARA CUBA - DN32 CROMADA 1.1/4,VALVULA,PRATIKA PARA CUBA - DN32 CROMADA,1.1/4,JAPI,,VALVULA PRATIKA PARA CUBA - DN32 CROMADA 1.1/4 JAPI
SA2-C2D,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,P/ PIA AMERICANA,3.1/2',VÁLVULA P/ PIA AMERICANA 3.1/2',VALVULA,P/ PIA AMERICANA,3.1/2',FRANKE,,VALVULA P/ PIA AMERICANA 3.1/2' FRANKE
WEB-5EY,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,V8 P/ LAVATORIO,,VÁLVULA V8 P/ LAVATORIO,VALVULA,V8 P/ LAVATORIO,,KRONA,,VALVULA V8 P/ LAVATORIO KRONA
WQH-1VI,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,V8 P/ LAVATORIO,,VÁLVULA V8 P/ LAVATORIO,VALVULA,V8 P/ LAVATORIO,,VALEPLAST,,VALVULA V8 P/ LAVATORIO VALEPLAST
ZCS-9VN,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,"1.1/2""",,"VÁLVULA 1.1/2""","VALVULA PLASTICA DE POCO 1.1/2""","1.1/2""",,ASTRA,,"VALVULA PLASTICA DE POCO 1.1/2"" 1.1/2"" ASTRA"
IO4-0ME,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,"1.1/4""",,"VÁLVULA 1.1/4""","VALVULA PLASTICA DE POCO 1.1/4""","1.1/4""",,ASTRA,,"VALVULA PLASTICA DE POCO 1.1/4"" 1.1/4"" ASTRA"
UYZ-5LQ,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,"1""",,"VÁLVULA 1""","VALVULA PLASTICA DE POCO 1""","1""",,ASTRA,,"VALVULA PLASTICA DE POCO 1"" 1"" ASTRA"
588-YUQ,H - ACABAMENTOS PARA ÁREAS MOLHADAS,HIDRÁULICA,VÁLVULA,"3/4""",,"VÁLVULA 3/4""","VALVULA PLASTICA DE POCO 3/4""","3/4""",,ASTRA,,"VALVULA PLASTICA DE POCO 3/4"" 3/4"" ASTRA"
JX8-AR7,H - ACABAMENTOS PARA ÁREAS MOLHADAS,METAIS SANITÁRIOS,VASO SANITARIO,CAIXA ACOPLADA,PARATI,VASO SANITARIO CAIXA ACOPLADA PARATI,VASO SANITARIO,CAIXA ACOPLADA,PARATI,LOGASA,,VASO SANITARIO CAIXA ACOPLADA PARATI LOGASA
T79-QQI,H - ACABAMENTOS PARA ÁREAS MOLHADAS,METAIS SANITÁRIOS,VASO SANITARIO,CONVENCIONAL,,VASO SANITARIO CONVENCIONAL,VASO SANITARIO,CONVENCIONAL,,,,VASO SANITARIO CONVENCIONAL
EXY-7OO,I - ILUMINAÇÃO E ACABAMENTOS,HIDRÁULICA,BOCAL,DE PORCELANA,,BOCAL DE PORCELANA,BOCAL,DE PORCELANA,,,,BOCAL DE PORCELANA
B1U-LPW,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR,3TECLAS ILUMI,,INTERRUPTOR 3TECLAS ILUMI,INTERRUPTOR,3TECLAS ILUMI,,,,INTERRUPTOR 3TECLAS ILUMI
K2H-HJV,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR,2 TECLA,ILUMIN,INTERRUPTOR 2 TECLA ILUMIN,INTERRUPTOR,2 TECLA,,ILUMIN,,INTERRUPTOR 2 TECLA ILUMIN
RI1-F4V,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR,1 TECLA,MECTRONIC,INTERRUPTOR 1 TECLA MECTRONIC,INTERRUPTOR,1 TECLA,,MECTRONIC,,INTERRUPTOR 1 TECLA MECTRONIC
RDS-78R,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR + TOMADA,10A,BRANCA,INTERRUPTOR + TOMADA 10A BRANCA,INTERRUPTOR + TOMADA,10A,BRANCA,TRAMONTINA,,INTERRUPTOR + TOMADA 10A BRANCA TRAMONTINA
GO3-T8Q,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR + TOMADA BRANCA 20A,20A,BRANCA,INTERRUPTOR + TOMADA BRANCA 20A 20A BRANCA,INTERRUPTOR + TOMADA BRANCA 20A,20A,BRANCA,TRAMONTINA,,INTERRUPTOR + TOMADA BRANCA 20A 20A BRANCA TRAMONTINA
6HR-XO5,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR 2TECLAS,2TECLAS TRAMONTINA LUX,,INTERRUPTOR 2TECLAS 2TECLAS TRAMONTINA LUX,INTERRUPTOR 2TECLAS,2TECLAS TRAMONTINA LUX,,,,INTERRUPTOR 2TECLAS 2TECLAS TRAMONTINA LUX
L1T-M0Z,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,INTERRUPTOR 3TECLAS,3TECLAS ROMAZI 10A,,INTERRUPTOR 3TECLAS 3TECLAS ROMAZI 10A,INTERRUPTOR 3TECLAS,3TECLAS ROMAZI 10A,,,,INTERRUPTOR 3TECLAS 3TECLAS ROMAZI 10A
HGT-9Z5,I - ILUMINAÇÃO E ACABAMENTOS,ILUMINAÇÃO,LAMPADA FLUORESCENTE TUBOLAR,40W,,LAMPADA FLUORESCENTE TUBOLAR 40W,LAMPADA FLUORESCENTE TUBOLAR,40W,,,,LAMPADA FLUORESCENTE TUBOLAR 40W
SSP-VX8,I - ILUMINAÇÃO E ACABAMENTOS,ILUMINAÇÃO,LAMPADA FLUORESCENTE TUBOLAR,20W,,LAMPADA FLUORESCENTE TUBOLAR 20W,LAMPADA FLUORESCENTE TUBOLAR,20W,,,,LAMPADA FLUORESCENTE TUBOLAR 20W
43F-7ES,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,09W,,LAMPADA LED BULBO 6500K 09W
D1N-BU0,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,15W,,LAMPADA LED BULBO 6500K 15W
FAN-10A,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,T8,6500K,LAMPADA LED T8 6500K,LAMPADA LED,T8,6500K,18W,,LAMPADA LED T8 6500K 18W
H2H-D50,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,12W,,LAMPADA LED BULBO 6500K 12W
LJD-7QS,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,20W,,LAMPADA LED BULBO 6500K 20W
PY4-X5U,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,CILINDRICA,6500K,LAMPADA LED CILINDRICA 6500K,LAMPADA LED,CILINDRICA,6500K,60W,,LAMPADA LED CILINDRICA 6500K 60W
R5D-PII,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,"4,9W",,"LAMPADA LED BULBO 6500K 4,9W"
T3D-4AN,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,CILINDRICA,6500K,LAMPADA LED CILINDRICA 6500K,LAMPADA LED,CILINDRICA,6500K,40W,,LAMPADA LED CILINDRICA 6500K 40W
UZS-0GB,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,09W,,LAMPADA LED BULBO 6500K 09W
W4Q-Y6I,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,BULBO,6500K,LAMPADA LED BULBO 6500K,LAMPADA LED,BULBO,6500K,40W,,LAMPADA LED BULBO 6500K 40W
Y9J-MZA,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LAMPADA LED,T8,6500K,LAMPADA LED T8 6500K,LAMPADA LED,T8,6500K,09W,,LAMPADA LED T8 6500K 09W
05G-YBN,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,LUMINÁRIA LED P/EMBUTIR 6500K QUAD,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,24W (30CM),,LUMINÁRIA LED P/EMBUTIR 6500K QUAD 24W (30CM)
44R-E44,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,LUMINÁRIA LED P/EMBUTIR 6500K RED,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,24W (30CM),,LUMINÁRIA LED P/EMBUTIR 6500K RED 24W (30CM)
53E-5PA,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/SOBREPOR 6500K,QUAD,LUMINÁRIA LED P/SOBREPOR 6500K QUAD,LUMINÁRIA LED,P/SOBREPOR 6500K,QUAD,12W (17CM),,LUMINÁRIA LED P/SOBREPOR 6500K QUAD 12W (17CM)
7LC-G3M,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,LUMINÁRIA LED P/EMBUTIR 6500K QUAD,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,"18W 22,5CM)",,"LUMINÁRIA LED P/EMBUTIR 6500K QUAD 18W 22,5CM)"
7X7-W6L,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,TATARTARUGA 6500K,12W,LUMINÁRIA LED TATARTARUGA 6500K 12W,LUMINÁRIA LED,TATARTARUGA 6500K,,12W,,LUMINÁRIA LED TATARTARUGA 6500K 12W
F1S-6ZD,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/SOBREPOR 6500K,RED,LUMINÁRIA LED P/SOBREPOR 6500K RED,LUMINÁRIA LED,P/SOBREPOR 6500K,RED,12W (17CM),,LUMINÁRIA LED P/SOBREPOR 6500K RED 12W (17CM)
H5V-MQZ,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,LUMINÁRIA LED P/EMBUTIR 6500K RED,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,12W (17CM),,LUMINÁRIA LED P/EMBUTIR 6500K RED 12W (17CM)
J8G-MSA,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/SOBREPOR 6500K,QUAD,LUMINÁRIA LED P/SOBREPOR 6500K QUAD,LUMINÁRIA LED,P/SOBREPOR 6500K,QUAD,24W (30CM),,LUMINÁRIA LED P/SOBREPOR 6500K QUAD 24W (30CM)
Q82-4MJ,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/SOBREPOR 6500K,RED,LUMINÁRIA LED P/SOBREPOR 6500K RED,LUMINÁRIA LED,P/SOBREPOR 6500K,RED,24W (30CM),,LUMINÁRIA LED P/SOBREPOR 6500K RED 24W (30CM)
Q8U-N66,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,LUMINÁRIA LED P/EMBUTIR 6500K RED,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,"18W 22,5CM)",,"LUMINÁRIA LED P/EMBUTIR 6500K RED 18W 22,5CM)"
T74-OVN,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,LUMINÁRIA LED P/EMBUTIR 6500K RED,LUMINÁRIA LED,P/EMBUTIR 6500K,RED,06W (12CM),,LUMINÁRIA LED P/EMBUTIR 6500K RED 06W (12CM)
TA0-0YC,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,LUMINÁRIA LED P/EMBUTIR 6500K QUAD,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,06W (12CM),,LUMINÁRIA LED P/EMBUTIR 6500K QUAD 06W (12CM)
VJG-A15,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,LUMINÁRIA LED P/EMBUTIR 6500K QUAD,LUMINÁRIA LED,P/EMBUTIR 6500K,QUAD,12W (17CM),,LUMINÁRIA LED P/EMBUTIR 6500K QUAD 12W (17CM)
XFX-A5F,I - ILUMINAÇÃO E ACABAMENTOS,MATERIAL ELÉTRICO,LUMINÁRIA LED,P/SOBREPOR 6500K,RED,LUMINÁRIA LED P/SOBREPOR 6500K RED,LUMINÁRIA LED,P/SOBREPOR 6500K,RED,"18W (22,5CM)",,"LUMINÁRIA LED P/SOBREPOR 6500K RED 18W (22,5CM)"
