codigo;lote;motivo;nome_original;nome_actual_db;status;ativo
SV7-Q22;1;Torneira por uso;TORNEIRA BICA MOVEL MESA 1156 SHK ABS;TORNEIRA BICA MOVEL MESA 1156 SHK ABS;ok;true
XR1-ZRK;1;Produto avulso — revisar depois;PONTALETE GALVANIZADO LEVE BIFASICO 3 MT;PONTALETE GALVANIZADO LEVE BIFASICO 3 MT;ok;true
9W0-FQI;1;Nome curto + apresentação;SIFAO METALICO DE 1.1/4 X 1.1/2;SIFAO METALICO DE 1.1/4 X 1.1/2;ok;true
K9O-WKV;1;Produto avulso — revisar depois;REGULADOR P/GAS COM MANGUEIRA;REGULADOR P/GAS COM MANGUEIRA;ok;true
0E4-4JI;1;Torneira por uso;TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15;TORNEIRA BICA MÓVEL MESA SHB ABS 1/4 DE VOLTA DN15;ok;true
9ES-MWX;1;Torneira por uso;TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15 › 1178P61;TORNEIRA DE PAREDE PARA LAVATORIO CROMADA DN15 › 1178P61;ok;true
02Q-PPC;1;Registro + medida;REGISTRO GAVETA LATAO 3/4 (*);REGISTRO GAVETA LATAO 3/4 (*);ok;true
95B-U2J;1;Massa/argamassa: produto + apresentação;MASSA ACRILICA (BD 20 KG) HIPERCOR;MASSA ACRILICA (BD 20 KG) HIPERCOR;ok;true
77V-9SN;1;Tinta/verniz: produto + volume;THINNER ANJO 5L;THINNER ANJO 5L;ok;true
Z28-TGZ;1;Iluminação;SPOT LED AUXILIAR PEQUENO 03W QUAD 6500K;SPOT LED AUXILIAR PEQUENO 03W QUAD 6500K;ok;true
PXF-N4V;1;Torneira por uso;TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15;TORNEIRA PARA TANQUE OU MAQUINA DE LAVAR J4 DN15;ok;true
C0S-3C9;1;Produto avulso — revisar depois;LAPIS DE CARPINTEIRO IRWIN;LAPIS DE CARPINTEIRO IRWIN;ok;true
3HY-WE8;1;Massa/argamassa: produto + apresentação;MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL;MANTA LÍQUIDA PRETA 3,6 KG QUARTZOLIT - GL;ok;true
P2O-L4L;1;Torneira por uso;TORNEIRA (PURIFICADOR) ACQUA DUE MESA;TORNEIRA (PURIFICADOR) ACQUA DUE MESA;ok;true
ICB-42A;1;Nome curto + apresentação;RESISTENCIA 3065 ACQUA ULTRA 127/5500;RESISTENCIA 3065 ACQUA ULTRA 127/5500;ok;true
0UA-0IH;1;Nome curto + apresentação;NIPEL ROSCAVEL 1/2;NIPEL ROSCAVEL 1/2;ok;true
5C4-IXK;1;Registro + medida;REGISTRO PRESSAO J4 DN20;REGISTRO PRESSAO J4 DN20;ok;true
A3I-Q2G;1;Produto avulso — revisar depois;RESITENCIA 3065-I LOREN SHOWER ULTRA 127 V/ 5500 W;RESITENCIA 3065-I LOREN SHOWER ULTRA 127 V/ 5500 W;ok;true
HQP-C8A;1;Produto avulso — revisar depois;MICTORIO COM SIFAO BARI;MICTORIO COM SIFAO BARI;ok;true
0JH-QC6;1;Registro + medida;REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140;REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140;ok;true
XDT-AZ2;1;Registro + medida;REGISTRO PRESSAO J4 DN15;REGISTRO PRESSAO J4 DN15;ok;true
DSM-KP4;1;Torneira por uso;TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15;TORNEIRA BICA MOVEL PARA LAVATORIO J4 DN15;ok;true
29C-UHG;1;Tinta/verniz: produto + volume;SELADOR P/ MADEIRA INCOLOR IQUINE - GL;SELADOR P/ MADEIRA INCOLOR IQUINE - GL;ok;true
MCV-42T;1;Nome curto + apresentação;RESISTENCIA 3060A 127/5500 DUOSHOW/FUT;RESISTENCIA 3060A 127/5500 DUOSHOW/FUT;ok;true
G21-LEK;1;Nome curto + apresentação;CONECTOR P/HASTE ATERRAM.1/2 TAF;CONECTOR P/HASTE ATERRAM.1/2 TAF;ok;true
4T1-52O;1;Torneira por uso;TORNEIRA (PURIFICADOR) ACQUA BELLA MESA;TORNEIRA (PURIFICADOR) ACQUA BELLA MESA;ok;true
2AX-V8I;1;Torneira por uso;TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE;TORNEIRA (PURIFICADOR) ACQUA BELLA PAREDE;ok;true
1KL-WNB;1;Registro + medida;REGISTRO ESF LATAO 2 PASS PLENA #2(*);REGISTRO ESF LATAO 2 PASS PLENA #2(*);ok;true
VU4-HEU;1;Registro + medida;REGISTRO ESFERA PLASTICO 60MM SOLDAVEL - VEPS160;REGISTRO ESFERA PLASTICO 60MM SOLDAVEL - VEPS160;ok;true
J10-DXC;1;Produto avulso — revisar depois;RESISTENCIA 3055-Q 127V 5500W;RESISTENCIA 3055-Q 127V 5500W;ok;true
MNG-PX8;1;Iluminação;SPOT LED AUXILIAR GRANDE 06W QUAD 6500K;SPOT LED AUXILIAR GRANDE 06W QUAD 6500K;ok;true
BKI-Z0Q;1;Registro + medida;REGISTRO ESFERA ROSCÁVEL METAL 1/2;REGISTRO ESFERA ROSCÁVEL METAL 1/2;ok;true
2W2-8W1;1;Torneira por uso;TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15;TORNEIRA P/LAVATORIO MESA PLASTICA BRANCA 1 DN15;ok;true
YU6-OS4;1;Nome curto + apresentação;UNIAO ROSCAVEL 3/4;UNIAO ROSCAVEL 3/4;ok;true
71I-W47;1;Torneira por uso;TORNEIRA PARA LAVATORIO J4 DN15;TORNEIRA PARA LAVATORIO J4 DN15;ok;true
JSJ-SA0;1;Nome curto + apresentação;PIA TRAMONTINA AÇO INOX 01CUBA 105X52;PIA TRAMONTINA AÇO INOX 01CUBA 105X52;ok;true
RU6-NG6;1;Nome curto + apresentação;RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP;RESISTENCIA 3056E 127/5500 ELE ADVANCED/TOP;ok;true
ZKK-T28;1;Nome curto + apresentação;PIA BANHEIRO LOGASA C/COLUNA 47x42,5 BRANCO;PIA BANHEIRO LOGASA C/COLUNA 47x42,5 BRANCO;ok;true
17Y-N2V;1;Conexão hidráulica;TUBO DESCARGA 40MM;TUBO DESCARGA 40MM;ok;true
50K-KDC;1;Produto avulso — revisar depois;RESISTENCIA 755-E P/ AQUECEDOR VERSATIL 127 V / 5500W;RESISTENCIA 755-E P/ AQUECEDOR VERSATIL 127 V / 5500W;ok;true
BJY-X0P;1;Registro + medida;REGISTRO GAVETA LATAO 1/2 (*);REGISTRO GAVETA LATAO 1/2 (*);ok;true
9OT-T6T;1;Produto avulso — revisar depois;PINCEL 4;PINCEL 4;ok;true
Y5C-13A;1;Nome curto + apresentação;TAPA-FURO DE 20mm;TAPA-FURO DE 20mm;ok;true
THW-0LC;1;Nome curto + apresentação;TAPA-FURO DE 25mm;TAPA-FURO DE 25mm;ok;true
Z32-Y6P;1;Conexão hidráulica;TE ESGOTO 100MM;TE ESGOTO 100MM;ok;true
KG3-BSR;1;Torneira por uso;TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15;TORNEIRA BICA MÓVEL MESA LAVATÓRIO SHB ABS 1/4 DE VOLTA DN15;ok;true
13S-5TA;1;Tinta/verniz: produto + volume;TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO;TINTA ACABEMENTO CITYCOLOR (3,6 L) CIMENTO QUEIMADO;ok;true
N2T-S3T;1;Nome curto + apresentação;RESISTENCIA 065 3T LORENULTRA 127/4600;RESISTENCIA 065 3T LORENULTRA 127/4600;ok;true
LV0-IUR;1;Torneira por uso;TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15;TORNEIRA BICA MOV P/ PIA COZ MESA ABS BRANCA 1 DN15;ok;true
5CC-7CJ;1;Registro + medida;REGISTRO ESFERA PLASTICO 50MM SOLDAVEL - VEPS150;REGISTRO ESFERA PLASTICO 50MM SOLDAVEL - VEPS150;ok;true
V3Y-F18;1;Nome curto + apresentação;UNIAO ROSCAVEL 1/2;UNIAO ROSCAVEL 1/2;ok;true
YS0-WFH;1;Nome curto + apresentação;UNIAO ROSCAVEL 1 1/4;UNIAO ROSCAVEL 1 1/4;ok;true
ZAF-JZ3;1;Produto avulso — revisar depois;SERRA MANUAL FLEXIVEL STARRETT;SERRA MANUAL FLEXIVEL STARRETT;ok;true
8MQ-FIS;1;Produto avulso — revisar depois;PLUG FEMEA 2P + T 10A;PLUG FEMEA 2P + T 10A;ok;true
YCF-12J;1;Massa/argamassa: produto + apresentação;MASSA CORRIDA (BD 20 KG) HIPERCOR #G;MASSA CORRIDA (BD 20 KG) HIPERCOR #G;ok;true
Z0E-VUO;1;Produto avulso — revisar depois;RALO SIMPLES REDONDO - REBOUCAS;RALO SIMPLES REDONDO - REBOUCAS;ok;true
H1T-TTY;1;Produto avulso — revisar depois;TALHADEIRA CHATA 12;TALHADEIRA CHATA 12;ok;true
39E-AH5;1;Registro + medida;REPARO P/REGISTRO;REPARO P/REGISTRO;ok;true
AAO-UL8;1;Produto avulso — revisar depois;SIFAO BRANCO;SIFAO BRANCO;ok;true
X28-HFD;1;Conexão hidráulica;TE ESGOTO 50MM;TE ESGOTO 50MM;ok;true
O0W-QOD;1;Registro + medida;REGISTRO ESFERA ROSCÁVEL METAL 1;REGISTRO ESFERA ROSCÁVEL METAL 1;ok;true
YPK-P2E;1;Torneira por uso;TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15;TORNEIRA BICA MOV P/ LAVATORIO MESA ABS BRANCA 1 DN15;ok;true
34N-6NP;1;Produto avulso — revisar depois;PRUMO PAREDE HOBBY RAMADA 3854;PRUMO PAREDE HOBBY RAMADA 3854;ok;true
3VQ-C1U;1;Produto avulso — revisar depois;PINCEL 3;PINCEL 3;ok;true
